method_name,seed,problem_id,budget_fraction,candidate_count,valid_ppa_count,valid_ppa_rate,unique_canonical_netlists,canonical_duplicate_count,unique_motif_signatures,occupied_internal_cells,occupied_common_audit_cells,pareto_size,best_fitness
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,0.5,60,35,0.5833333333333334,7,28,2,11,2,7,0.32968627450980387
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,0.75,90,57,0.6333333333333333,10,47,3,11,2,8,0.32968627450980387
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,1.0,120,81,0.675,12,69,3,11,2,10,0.32968627450980387
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.25,30,0,0.0,0,0,0,0,0,0,
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.5,60,4,0.06666666666666667,3,1,3,4,2,3,-0.1171349157926339
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.75,90,6,0.06666666666666667,4,2,4,6,2,4,-0.1171349157926339
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,1.0,120,10,0.08333333333333333,8,2,8,10,2,5,-0.1171349157926339
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob153_gshare,0.25,30,11,0.36666666666666664,8,3,8,10,2,3,0.13124908330233895
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob153_gshare,0.5,60,19,0.31666666666666665,14,5,13,15,3,7,0.13560291914358902
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob153_gshare,0.75,90,30,0.3333333333333333,21,9,20,19,3,9,0.13560291914358902
