seed,problem,metric,classic,treatment,delta,status
1001,Prob025_sequence_detector,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob026_asyn_fifo,rtl_simulation_functionality_50,0.0,0.0,0.0,paired
1001,Prob027_LIFObuffer,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob028_LFSR,rtl_simulation_functionality_50,0.0,0.0,0.0,paired
1001,Prob029_barrel_shifter,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob030_right_shifter,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob031_freq_div,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob032_freq_divbyeven,rtl_simulation_functionality_50,0.0,0.0,0.0,paired
1001,Prob033_freq_divbyfrac,rtl_simulation_functionality_50,0.0,0.0,0.0,paired
1001,Prob034_freq_divbyodd,rtl_simulation_functionality_50,0.0,0.0,0.0,paired
1001,Prob035_calendar,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob036_edge_detect,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob037_parallel2serial,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob038_pulse_detect,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob039_serial2parallel,rtl_simulation_functionality_50,0.0,0.0,0.0,paired
1001,Prob040_synchronizer,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob041_traffic_light,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob042_width_8to16,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob043_RAM,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob044_ROM,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob045_alu,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob046_clkgenerator,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob047_instr_reg,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob048_pe,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob049_signal_generator,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob050_square_wave,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob001_accu,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob002_adder_16bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob003_adder_32bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob004_adder_8bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob005_adder_bcd,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob007_comparator_3bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob008_comparator_4bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob009_div_16bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob010_radix2_div,rtl_simulation_functionality_46,1.0,0.0,-1.0,paired
1001,Prob011_multi_16bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob012_multi_8bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob014_multi_pipe_4bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob015_multi_pipe_8bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob016_fixed_point_adder,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob017_fixed_point_substractor,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob019_sub_64bit,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob020_JC_counter,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob021_counter_12,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob022_ring_counter,rtl_simulation_functionality_46,0.0,0.0,0.0,paired
1001,Prob023_up_down_counter,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob024_fsm,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob025_sequence_detector,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob026_asyn_fifo,rtl_simulation_functionality_46,0.0,0.0,0.0,paired
1001,Prob027_LIFObuffer,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob028_LFSR,rtl_simulation_functionality_46,0.0,0.0,0.0,paired
1001,Prob029_barrel_shifter,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob030_right_shifter,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob031_freq_div,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob032_freq_divbyeven,rtl_simulation_functionality_46,0.0,0.0,0.0,paired
1001,Prob033_freq_divbyfrac,rtl_simulation_functionality_46,0.0,0.0,0.0,paired
1001,Prob034_freq_divbyodd,rtl_simulation_functionality_46,0.0,0.0,0.0,paired
1001,Prob035_calendar,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob036_edge_detect,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob037_parallel2serial,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob038_pulse_detect,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob039_serial2parallel,rtl_simulation_functionality_46,0.0,0.0,0.0,paired
1001,Prob041_traffic_light,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
1001,Prob042_width_8to16,rtl_simulation_functionality_46,1.0,1.0,0.0,paired
