method_name,problem_id,retention_mode,source_valid_ppa,retained_candidate_count,retained_fraction,occupied_cells,mean_front_size,max_front_size,hypervolume,global_pareto_point_count,best_fitness,ppa_grid_occupied_cells,ppa_grid_total_cells,ppa_grid_coverage,unique_canonical_netlist_count,duplicate_netlist_count,unique_motif_signature_count,ppa_front_unique_netlist_count
simple_yosys_stat_bd,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,42,2,0.047619047619047616,2,1.0,1,0.027542942494398804,2,0.296595978718354,1,16,0.0625,2,0,2,2
simple_yosys_stat_bd,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,42,5,0.11904761904761904,2,2.5,4,0.027542942494398804,5,0.296595978718354,1,16,0.0625,3,2,2,3
simple_yosys_stat_bd,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,42,3,0.07142857142857142,3,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,3,0,3,1
simple_yosys_stat_bd,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,42,8,0.19047619047619047,3,2.6666666666666665,4,0.0,4,0.04155040525406675,1,64,0.015625,6,2,5,2
netlist_motif_occupancy,RTLLM/Prob011_multi_16bit,scalar_cell_elite,22,1,0.045454545454545456,1,1.0,1,0.0,1,0.2966177416721881,1,64,0.015625,1,0,1,1
netlist_motif_occupancy,RTLLM/Prob011_multi_16bit,bounded_local_pareto,22,4,0.18181818181818182,1,4.0,4,0.0017865245009074406,4,0.2966177416721881,3,64,0.046875,4,0,4,4
netlist_motif_occupancy,RTLLM/Prob019_sub_64bit,scalar_cell_elite,40,1,0.025,1,1.0,1,0.04622054938011037,1,0.3454853847797425,1,16,0.0625,1,0,1,1
netlist_motif_occupancy,RTLLM/Prob019_sub_64bit,bounded_local_pareto,40,2,0.05,1,2.0,2,0.04622054938011037,2,0.3454853847797425,1,16,0.0625,1,1,1,1
netlist_motif_occupancy,RTLLM/Prob048_pe,scalar_cell_elite,22,1,0.045454545454545456,1,1.0,1,0.0,1,0.002637280923532347,1,64,0.015625,1,0,1,1
netlist_motif_occupancy,RTLLM/Prob048_pe,bounded_local_pareto,22,3,0.13636363636363635,1,3.0,3,0.0,3,0.002637280923532347,1,64,0.015625,2,1,2,2
