problem_id,early_candidate_count,early_valid_ppa_count,early_valid_ppa_rate,early_style_cluster_count,early_motif_count,early_mean_lexical_distance,final_valid_ppa_count,final_best_fitness,final_hypervolume,final_front_style_cluster_count
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob051_gates4,20,20,1.0,2,1,2.47395483680881,195,0.494739507959479,0.0,4
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100,20,19,0.95,2,1,2.7068365888125427,165,0.3684277734754741,0.1323507604092864,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob053_m2014_q4d,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob054_edgedetect,20,13,0.65,1,1,1.7340589958823893,86,0.0707671957671958,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob055_conditional,20,19,0.95,2,1,3.496269299528093,196,0.5682405988363843,0.21697672768553994,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob056_ece241_2013_q7,20,4,0.2,1,1,4.489823185271811,78,-0.0,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob057_kmap2,20,1,0.05,1,1,0.0,67,0.3779637377963738,0.14086471408647142,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob058_alwaysblock2,20,9,0.45,1,1,2.8479367021591764,133,0.49744460856720824,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob059_wire4,20,19,0.95,3,1,2.493446581428179,203,0.49450236966824646,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob060_m2014_q4k,20,16,0.8,1,1,3.1268597836495546,176,0.6660319284802044,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob061_2014_q4a,20,18,0.9,2,1,3.8046486081090474,157,-0.0,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob062_bugs_mux2,22,0,0.0,0,0,0.0,36,-0.0,0.0,3
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob063_review2015_shiftcount,20,13,0.65,2,1,3.917741395996004,163,-0.0,0.0,2
