problem,backend,candidate,source_aig_variables,source_aig_ands,output_index,cone_variables,cone_inputs,cone_ands,embedded_nodes,embedded_edges,embedding_seconds,cone_path
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample6_single_thought_operator,1066,975,17,8,4,4,13,13,0.014640,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_029_cone_01.aag
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample6_single_thought_operator,1066,975,18,8,4,4,13,13,0.012751,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_029_cone_02.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample2_initial,2512,2441,1,245,44,201,403,552,0.063120,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_030_cone_00.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample2_initial,2512,2441,2,251,44,207,414,569,0.061127,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_030_cone_01.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample2_initial,2512,2441,3,254,44,210,419,576,0.062905,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_030_cone_02.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample7_initial,2735,2664,1,258,44,214,427,588,0.062979,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_031_cone_00.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample7_initial,2735,2664,2,270,44,226,445,616,0.065749,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_031_cone_01.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample7_initial,2735,2664,3,279,44,235,461,640,0.070013,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_031_cone_02.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample8_single_thought_operator,2936,2865,1,260,44,216,431,594,0.063669,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_032_cone_00.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample8_single_thought_operator,2936,2865,2,276,44,232,454,630,0.065181,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_032_cone_01.aag
Prob045_alu,qwen_canonical_rtl_pca3_8x5,Prob045_alu_sample8_single_thought_operator,2936,2865,3,289,44,245,475,662,0.068946,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_032_cone_02.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample8_initial,9513,8840,8,8,4,4,13,13,0.014708,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_033_cone_00.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample8_initial,9513,8840,9,8,4,4,13,13,0.010470,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_033_cone_01.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample8_initial,9513,8840,10,8,4,4,13,13,0.010099,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_033_cone_02.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample2_single_thought_operator,9512,8839,8,8,4,4,13,13,0.010389,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_034_cone_00.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample2_single_thought_operator,9512,8839,9,8,4,4,13,13,0.010203,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_034_cone_01.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample2_single_thought_operator,9512,8839,10,8,4,4,13,13,0.010088,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_034_cone_02.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample6_single_thought_operator,10597,9901,8,8,4,4,13,13,0.015439,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_035_cone_00.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample6_single_thought_operator,10597,9901,9,8,4,4,13,13,0.010866,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_035_cone_01.aag
Prob153_gshare,qwen_canonical_rtl_pca3_8x5,Prob153_gshare_sample6_single_thought_operator,10597,9901,10,8,4,4,13,13,0.010345,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_035_cone_02.aag
